pair_index,timestamp,match_status,time_difference_minutes,distance_km,variable,era5_value,open-meteo_value,absolute_difference,percent_difference,agreement_flag
16794,2025-11-30T18:00:00Z,MATCHED,0.0,1.808,wind_speed,2.296,1.5,0.796,34.669,SOURCE_DISAGREEMENT
16795,2025-11-30T19:00:00Z,MATCHED,0.0,1.808,temperature,15.007,14.7,0.307,2.046,SOURCE_AGREEMENT_HIGH
16795,2025-11-30T19:00:00Z,MATCHED,0.0,1.808,pressure,1015.576,969.7,45.876,4.517,SOURCE_AGREEMENT_HIGH
16795,2025-11-30T19:00:00Z,MATCHED,0.0,1.808,rainfall,0.0,0.0,0.0,,SOURCE_AGREEMENT_HIGH
16795,2025-11-30T19:00:00Z,MATCHED,0.0,1.808,wind_speed,2.236,1.83,0.406,18.157,SOURCE_DISAGREEMENT
16796,2025-11-30T20:00:00Z,MATCHED,0.0,1.808,temperature,14.07,14.2,0.13,0.915,SOURCE_AGREEMENT_HIGH
16796,2025-11-30T20:00:00Z,MATCHED,0.0,1.808,pressure,1015.159,969.5,45.659,4.498,SOURCE_AGREEMENT_HIGH
16796,2025-11-30T20:00:00Z,MATCHED,0.0,1.808,rainfall,0.0,0.0,0.0,,SOURCE_AGREEMENT_HIGH
16796,2025-11-30T20:00:00Z,MATCHED,0.0,1.808,wind_speed,2.318,1.62,0.698,30.112,SOURCE_DISAGREEMENT
16797,2025-11-30T21:00:00Z,MATCHED,0.0,1.808,temperature,13.892,14.0,0.108,0.771,SOURCE_AGREEMENT_HIGH
16797,2025-11-30T21:00:00Z,MATCHED,0.0,1.808,pressure,1015.134,969.2,45.934,4.525,SOURCE_AGREEMENT_HIGH
16797,2025-11-30T21:00:00Z,MATCHED,0.0,1.808,rainfall,0.0,0.0,0.0,,SOURCE_AGREEMENT_HIGH
16797,2025-11-30T21:00:00Z,MATCHED,0.0,1.808,wind_speed,2.242,1.87,0.372,16.592,SOURCE_DISAGREEMENT
16798,2025-11-30T22:00:00Z,MATCHED,0.0,1.808,temperature,12.911,13.5,0.589,4.363,SOURCE_AGREEMENT_HIGH
16798,2025-11-30T22:00:00Z,MATCHED,0.0,1.808,pressure,1014.752,969.3,45.452,4.479,SOURCE_AGREEMENT_HIGH
16798,2025-11-30T22:00:00Z,MATCHED,0.0,1.808,rainfall,0.0,0.0,0.0,,SOURCE_AGREEMENT_HIGH
16798,2025-11-30T22:00:00Z,MATCHED,0.0,1.808,wind_speed,2.024,1.61,0.414,20.455,SOURCE_DISAGREEMENT
16799,2025-11-30T23:00:00Z,MATCHED,0.0,1.808,temperature,13.115,13.9,0.785,5.647,SOURCE_AGREEMENT_MEDIUM
16799,2025-11-30T23:00:00Z,MATCHED,0.0,1.808,pressure,1015.226,969.5,45.726,4.504,SOURCE_AGREEMENT_HIGH
16799,2025-11-30T23:00:00Z,MATCHED,0.0,1.808,rainfall,0.0,0.0,0.0,,SOURCE_AGREEMENT_HIGH
16799,2025-11-30T23:00:00Z,MATCHED,0.0,1.808,wind_speed,2.188,2.4,0.212,8.833,SOURCE_AGREEMENT_MEDIUM
16800,2025-12-01T00:00:00Z,MATCHED,0.0,1.808,temperature,14.607,13.7,0.907,6.209,SOURCE_AGREEMENT_MEDIUM
16800,2025-12-01T00:00:00Z,MATCHED,0.0,1.808,pressure,1015.319,969.3,46.019,4.532,SOURCE_AGREEMENT_HIGH
16800,2025-12-01T00:00:00Z,MATCHED,0.0,1.808,rainfall,0.0,0.0,0.0,,SOURCE_AGREEMENT_HIGH
16800,2025-12-01T00:00:00Z,MATCHED,0.0,1.808,wind_speed,2.191,2.28,0.089,3.904,SOURCE_AGREEMENT_HIGH
16801,2025-12-01T01:00:00Z,MATCHED,0.0,1.808,temperature,14.443,13.7,0.743,5.144,SOURCE_AGREEMENT_MEDIUM
16801,2025-12-01T01:00:00Z,MATCHED,0.0,1.808,pressure,1015.994,970.0,45.994,4.527,SOURCE_AGREEMENT_HIGH
16801,2025-12-01T01:00:00Z,MATCHED,0.0,1.808,rainfall,0.0,0.0,0.0,,SOURCE_AGREEMENT_HIGH
16801,2025-12-01T01:00:00Z,MATCHED,0.0,1.808,wind_speed,2.176,1.77,0.406,18.658,SOURCE_DISAGREEMENT
16802,2025-12-01T02:00:00Z,MATCHED,0.0,1.808,temperature,15.763,14.8,0.963,6.109,SOURCE_AGREEMENT_MEDIUM
16802,2025-12-01T02:00:00Z,MATCHED,0.0,1.808,pressure,1016.767,971.1,45.667,4.491,SOURCE_AGREEMENT_HIGH
16802,2025-12-01T02:00:00Z,MATCHED,0.0,1.808,rainfall,0.0,0.0,0.0,,SOURCE_AGREEMENT_HIGH
16802,2025-12-01T02:00:00Z,MATCHED,0.0,1.808,wind_speed,2.27,1.9,0.37,16.3,SOURCE_DISAGREEMENT
16803,2025-12-01T03:00:00Z,MATCHED,0.0,1.808,temperature,15.739,17.7,1.961,11.079,SOURCE_AGREEMENT_MEDIUM
16803,2025-12-01T03:00:00Z,MATCHED,0.0,1.808,pressure,1017.722,972.0,45.722,4.493,SOURCE_AGREEMENT_HIGH
16803,2025-12-01T03:00:00Z,MATCHED,0.0,1.808,rainfall,0.0,0.0,0.0,,SOURCE_AGREEMENT_HIGH
16803,2025-12-01T03:00:00Z,MATCHED,0.0,1.808,wind_speed,1.856,1.06,0.796,42.888,SOURCE_DISAGREEMENT
16804,2025-12-01T04:00:00Z,MATCHED,0.0,1.808,temperature,16.361,20.9,4.539,21.718,SOURCE_DISAGREEMENT
16804,2025-12-01T04:00:00Z,MATCHED,0.0,1.808,pressure,1017.549,972.8,44.749,4.398,SOURCE_AGREEMENT_HIGH
16804,2025-12-01T04:00:00Z,MATCHED,0.0,1.808,rainfall,0.0,0.0,0.0,,SOURCE_AGREEMENT_HIGH
16804,2025-12-01T04:00:00Z,MATCHED,0.0,1.808,wind_speed,2.441,1.17,1.271,52.069,SOURCE_DISAGREEMENT
16805,2025-12-01T05:00:00Z,MATCHED,0.0,1.808,temperature,22.713,23.2,0.487,2.099,SOURCE_AGREEMENT_HIGH
16805,2025-12-01T05:00:00Z,MATCHED,0.0,1.808,pressure,1017.4,972.5,44.9,4.413,SOURCE_AGREEMENT_HIGH
16805,2025-12-01T05:00:00Z,MATCHED,0.0,1.808,rainfall,0.0,0.0,0.0,,SOURCE_AGREEMENT_HIGH
16805,2025-12-01T05:00:00Z,MATCHED,0.0,1.808,wind_speed,2.55,1.64,0.91,35.686,SOURCE_DISAGREEMENT
16806,2025-12-01T06:00:00Z,MATCHED,0.0,1.808,temperature,24.349,24.5,0.151,0.616,SOURCE_AGREEMENT_HIGH
16806,2025-12-01T06:00:00Z,MATCHED,0.0,1.808,pressure,1016.298,971.9,44.398,4.369,SOURCE_AGREEMENT_HIGH
16806,2025-12-01T06:00:00Z,MATCHED,0.0,1.808,rainfall,0.0,0.0,0.0,,SOURCE_AGREEMENT_HIGH
16806,2025-12-01T06:00:00Z,MATCHED,0.0,1.808,wind_speed,2.171,1.64,0.531,24.459,SOURCE_DISAGREEMENT
16807,2025-12-01T07:00:00Z,MATCHED,0.0,1.808,temperature,24.656,25.1,0.444,1.769,SOURCE_AGREEMENT_HIGH
16807,2025-12-01T07:00:00Z,MATCHED,0.0,1.808,pressure,1014.885,970.8,44.085,4.344,SOURCE_AGREEMENT_HIGH
16807,2025-12-01T07:00:00Z,MATCHED,0.0,1.808,rainfall,0.0,0.0,0.0,,SOURCE_AGREEMENT_HIGH
16807,2025-12-01T07:00:00Z,MATCHED,0.0,1.808,wind_speed,2.013,1.7,0.313,15.549,SOURCE_DISAGREEMENT
16808,2025-12-01T08:00:00Z,MATCHED,0.0,1.808,temperature,26.075,25.3,0.775,2.972,SOURCE_AGREEMENT_HIGH
16808,2025-12-01T08:00:00Z,MATCHED,0.0,1.808,pressure,1013.893,969.8,44.093,4.349,SOURCE_AGREEMENT_HIGH
16808,2025-12-01T08:00:00Z,MATCHED,0.0,1.808,rainfall,0.0,0.0,0.0,,SOURCE_AGREEMENT_HIGH
16808,2025-12-01T08:00:00Z,MATCHED,0.0,1.808,wind_speed,1.909,1.93,0.021,1.088,SOURCE_AGREEMENT_HIGH
16809,2025-12-01T09:00:00Z,MATCHED,0.0,1.808,temperature,26.498,25.2,1.298,4.898,SOURCE_AGREEMENT_HIGH
16809,2025-12-01T09:00:00Z,MATCHED,0.0,1.808,pressure,1013.099,969.0,44.099,4.353,SOURCE_AGREEMENT_HIGH
16809,2025-12-01T09:00:00Z,MATCHED,0.0,1.808,rainfall,0.0,0.0,0.0,,SOURCE_AGREEMENT_HIGH
16809,2025-12-01T09:00:00Z,MATCHED,0.0,1.808,wind_speed,2.037,2.4,0.363,15.125,SOURCE_DISAGREEMENT
16810,2025-12-01T10:00:00Z,MATCHED,0.0,1.808,temperature,23.661,24.7,1.039,4.206,SOURCE_AGREEMENT_HIGH
16810,2025-12-01T10:00:00Z,MATCHED,0.0,1.808,pressure,1012.864,968.6,44.264,4.37,SOURCE_AGREEMENT_HIGH
16810,2025-12-01T10:00:00Z,MATCHED,0.0,1.808,rainfall,0.0,0.0,0.0,,SOURCE_AGREEMENT_HIGH
